адрес	название	категория	улица	номер дома	широта	долгота	wmid	wikimapia	ссылки	автор	описание
Лермонтовский_22	Здание государственного банка	банк,памятник архитектуры (истории),строение 1860-х годов,строение 19го века,объект культурного наследия регионального значения	Лермонтовский пер.	22	47.212207	38.926767	33095672	http://wikimapia.org/33095672/ru/%D0%97%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0		klunny	В 1830-х годах это место принадлежало Марии Федоровне, урожденной Депальдо, супруге Дмитрия Ильича Алфераки. Со стороны Иерусалимской улицы (Александровской) имелась небольшая постройка, сделанная из земляного кирпича, а весь квартал был обнесен деревянным забором. Значительно позже, в 1860-х, на этом «срезанном углу» купец Дмитрий Негропонте построил полутораэтажное здание с портиком и колоннами. Какое-то время тут располагалась аптека. Когда в городе возник вопрос о переносе Азовского банка из Таганрога в Ростов в этом здании в 1895 году открыли отделение Санкт-Петербургского учетно-ссудного банка, во главе которого стал Иван Лукич Коресси. В 1918 году его переименовали в отделение Народного банка №2, впоследствии Государственный банк.
Украинский_7	Дом Муссури	памятник архитектуры (истории),строение 19го века	Украинский пер.	7	47.211244	38.939985	26429574	http://wikimapia.org/26429574/ru/%D0%94%D0%BE%D0%BC-%D0%9C%D1%83%D1%81%D1%81%D1%83%D1%80%D0%B8		klunny	В начале XIX в. семье Авьерино принадлежал весь участок земли на углу пер. Коммерческого и ул. Греческой. Самой старой постройкой является двухэтажный дом с балюстрадой постройки 1818 (Украинский, 7). Дом №7двухэтажный с балюстрадой.
Чехова_76	Дом Шедеви	жилой дом на несколько квартир (больше 2) с изолированными входами,достопримечательность,объект культурного наследия регионального значения,строение 1880-х годов	ул. Чехова	76/Итальянский пер., 43	47.208805	38.928398	13915979	http://wikimapia.org/13915979/ru/%D0%94%D0%BE%D0%BC-%D0%A8%D0%B5%D0%B4%D0%B5%D0%B2%D0%B8		tolikst	В этом доме жил известный в Таганроге врач П. М. Шедеви, один из прототипов героя рассказа А. П. Чехова «Ионыч».
Александровская_124		административно-офисное здание,не отображать название,строение 19го века	Александровская ул.	124	47.218357	38.912917	39173139	http://wikimapia.org/39173139/ru/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F-%D1%83%D0%BB-124		klunny	Дом 19 века с надстроенной мансардой
Шмидта_10	Дом купца Кудрина	индивидуальный жилой дом,памятник архитектуры (истории),строение 1830-х годов,объект культурного наследия регионального значения	ул. Шмидта	10	47.20973	38.943926	26429683	http://wikimapia.org/26429683/ru/%D0%94%D0%BE%D0%BC-%D0%BA%D1%83%D0%BF%D1%86%D0%B0-%D0%9A%D1%83%D0%B4%D1%80%D0%B8%D0%BD%D0%B0	https://lidushka-39.livejournal.com/35406.html	klunny	Это один из самых старых домов города. Архитектор Дюпон Де Ларю — этот француз еще и проект города делал. Объект культурного наследия регионального значения Реш-е № 301 от 18.11.92 г. Одноэтажный, с полуподвалом дом, большим парадным входом и треугольным фронтоном, поддерживаемый двумя колоннами и двумя полуколоннами. Построен по проекту архитектора Дюпон де Ларю в первой четверти 19 века. Длительное время его хозяином была семья Кудриных. Много фото и описание: 
Розы_Люксембург_43		индивидуальный жилой дом,строение 19го века	ул. Розы Люксембург	43	47.206337	38.927995	39520152	http://wikimapia.org/39520152/ru/%D1%83%D0%BB-%D0%A0%D0%BE%D0%B7%D1%8B-%D0%9B%D1%8E%D0%BA%D1%81%D0%B5%D0%BC%D0%B1%D1%83%D1%80%D0%B3-43		klunny	В полтора этажа. Три окна. Без парадной (вход со двора).
Петровская_55	Здание старого театра	магазин,многоквартирный жилой дом,памятник архитектуры (истории),строение 19го века	Петровская ул.	55	47.212598	38.933061	26436214	http://wikimapia.org/26436214/ru/%D0%97%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D1%81%D1%82%D0%B0%D1%80%D0%BE%D0%B3%D0%BE-%D1%82%D0%B5%D0%B0%D1%82%D1%80%D0%B0	https://fudao.livejournal.com/353542.html,https://fudao.livejournal.com/353900.html	klunny	 Здание известно так же как дом Караяни
Тургеневский_36		индивидуальный жилой дом,строение 19го века	Тургеневский пер.	36	47.208724	38.930721	38415417	http://wikimapia.org/38415417/ru/%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80-36		klunny	Крепкий одноэтажный особняк из красного кирпича.
Фрунзе_4	Дом Тащиева	индивидуальный жилой дом,памятник архитектуры (истории),строение 1830-х годов	ул. Фрунзе	4	47.210318	38.934527	26429476	http://wikimapia.org/26429476/ru/%D0%94%D0%BE%D0%BC-%D0%A2%D0%B0%D1%89%D0%B8%D0%B5%D0%B2%D0%B0		klunny	Захарию Краснушкину, владевшему домом до конца 19 века и купцу Христофору Эммануиловичу Тащиеву. С 1918 по 1925 год здание принадлежало компаньону Тащиева — А.Е. Хаспекову. Двухэтажный дом на пять окон. Парадной нет. Слева - дореволюционная пристройка, сейчас в ней окно.
Некрасовский_107		индивидуальный жилой дом,строение 19го века	Некрасовский пер.	107	47.200198	38.936533	38277455	http://wikimapia.org/38277455/ru/%D0%9D%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80-107		klunny	На три окна, слева пристроено еще окно.
Греческая_71	Дом Чебоненко	банк,ворота,памятник архитектуры (истории),строение 1860-х годов,строение 19го века,объект культурного наследия регионального значения	Греческая ул.	71	47.212168	38.937486	14760911	http://wikimapia.org/14760911/ru/%D0%94%D0%BE%D0%BC-%D0%A7%D0%B5%D0%B1%D0%BE%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE		klunny	На пять окон двухэтажное здание украшенное лепкой и сухариками, построено для мариупольского купца Ивана Чебоненко по проекту 1866 года. Пристройка с парадного входа была выполнена по отдельному чертежу значительно позднее, в 1876 году. Вплоть до установления в городе Советской власти принадлежало семье Паласовых, сначала купцу Савелию (Савве), затем его наследникам. В 1918 году здание занимал штаб по формированию артиллерийских батарей для частей Красной армии 1 ноября 1943 года здесь открыли спецдетдом на сто мест для обучения и воспитания детей воинов Красной Армии, партизан Отечественной войны и детей советских работников, погибших от рук фашистов. Слева по улице сохранились ворота и кованная ограда. Дом оценивался в 12000 рублей.
Тургеневский_24	Кафе «Фрекен Бок»	кафе,строение 19го века	Тургеневский пер.	24	47.210748	38.932184	32578068	http://wikimapia.org/32578068/ru/%D0%9A%D0%B0%D1%84%D0%B5-%C2%AB%D0%A4%D1%80%D0%B5%D0%BA%D0%B5%D0%BD-%D0%91%D0%BE%D0%BA%C2%BB	http://www.frekenbok-cafe.ru,https://www.facebook.com/KafeTaganrogFrekenBok	klunny	Создано филологом Ольгой Евстратьевой. Открыто для посетителей в сентябре 2009 года. Режим работы: ежедневно 8:00–23:00 Тел. +7 (8634) 31‒04‒40 Здание расположено в греческом особняке 19 века.
Фрунзе_124		индивидуальный жилой дом,строение 19го века	ул. Фрунзе	124	47.223793	38.912593	29239775	http://wikimapia.org/29239775/ru/%D1%83%D0%BB-%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5-124		klunny	
Некрасовский_63		многоквартирный жилой дом,строение 19го века	Некрасовский пер.	63	47.204202	38.937056	38276809	http://wikimapia.org/38276809/ru/%D0%9D%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80-63		klunny	
1_Крепостной_8		индивидуальный жилой дом,строение 19го века	1-й Крепостной пер.	8	47.206506	38.946597	35710304	http://wikimapia.org/35710304/ru/1-%D0%B9-%D0%9A%D1%80%D0%B5%D0%BF%D0%BE%D1%81%D1%82%D0%BD%D0%BE%D0%B9-%D0%BF%D0%B5%D1%80-8		yggasser	
Чехова_36	Дом купца Стокоз	индивидуальный жилой дом,модерн,строение 19го века	ул. Чехова	36	47.206197	38.93647	33224479	http://wikimapia.org/33224479/ru/%D0%94%D0%BE%D0%BC-%D0%BA%D1%83%D0%BF%D1%86%D0%B0-%D0%A1%D1%82%D0%BE%D0%BA%D0%BE%D0%B7	https://sites.google.com/site/istoriceskijtaganrog/cehova-ulica/dom-36	klunny	В 1860-х годах дом находился в собственности купца Козьмы Моисеевича Стокоз, попечителя начального женского училища. (скончался от удара 4 декабря 1883 года в возрасте 53-х лет). В 1910-х годах домом владел слуцкий мещанин, владелец мельницы Мордух Гиршович Вилдавский. Часть помещений супруги сдавали судебному следователю Григорию Моисеевичу Волковыскому. Домовладение состоит из двух домов - каждый в три окна с парадной. Парадные симметричны к воротам. В здании читаются модерновые мотивы. Двор оценивался в 17600 рублей. 
Греческая_79	Дом чиновника Фоти	памятник архитектуры (истории),строение 19го века	Греческая ул.	79	47.213012	38.936153	26436169	http://wikimapia.org/26436169/ru/%D0%94%D0%BE%D0%BC-%D1%87%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B0-%D0%A4%D0%BE%D1%82%D0%B8	https://sites.google.com/site/istoriceskijtaganrog/greceskaa-ulica-1/dom-79	klunny	 Здание бывшего турецкого консульства
Петровская_130		многоквартирный жилой дом,строение 19го века	Петровская ул.	130	47.222868	38.918129	38192759	http://wikimapia.org/38192759/ru/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F-%D1%83%D0%BB-130		yggasser	жакт
Энгельса_100		индивидуальный жилой дом,строение 19го века	ул. Энгельса	100	47.202295	38.919035	39734481	http://wikimapia.org/39734481/ru/%D1%83%D0%BB-%D0%AD%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%B0-100		yggasser	
Итальянский_20	Дом Золотарева	салон красоты,памятник архитектуры (истории),объект культурного наследия регионального значения	Итальянский пер.	20	47.211794	38.92989	38189321	http://wikimapia.org/38189321/ru/%D0%94%D0%BE%D0%BC-%D0%97%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%D1%80%D0%B5%D0%B2%D0%B0	https://lidushka-39.livejournal.com/34422.html	klunny	Дом Золотарёва — памятник архитектуры второй половины XIX века. С начала 20 века домом владел действительный студент, в дальнейшем известный присяжный поверенный и оратор Александр Сергеевич Золотарев. В 1911 году здесь располагалась контора модных журналов и манекенов, производилось изготовление всевозможных мужских, дамских и детских выкроек на пошив одежды. За умеренную плату здесь давали и уроки кройки и шитья. В 1912 году часть помещения снимал товарищ прокурора, коллежский асессор Алексей Николаевич Беклемишев, а так же помощник присяжного поверенного Александр Осипович Чалисов. 18 сентября 1918 года в газете «Южное слово» появилось объявление, что по случаю выезда из города по Итальянскому переулку, 22 продается дом со всеми службами. Дом под номером 20 был построен на несколько лет ранее стоящего рядом здания под номером 22. Кованные ворота украли в 2020 году. Больше фото и статья тут: 
Александровская_72	Алкомаркет Gradus (бывший кинотеатр  «Октябрь»)	магазин алкогольной продукции,памятник архитектуры (истории),строение 1937 года,конструктивизм (искусство),объект культурного наследия регионального значения	Александровская ул.	72	47.212517	38.9261	93920	http://wikimapia.org/93920/ru/%D0%90%D0%BB%D0%BA%D0%BE%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82-Gradus-%D0%B1%D1%8B%D0%B2%D1%88%D0%B8%D0%B9-%D0%BA%D0%B8%D0%BD%D0%BE%D1%82%D0%B5%D0%B0%D1%82%D1%80-%C2%AB%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%C2%BB		klunny	Один из типовых проектов работы архитектора Виктора Петровича Калмыкова. К юбилею революции в 1937 г во многих городах Советского союза появились кинотеатры, подобные 'Октябрю'. В городе Бишкеке, Грозном, Комсомольске-на-Амуре и Кирове. (Из 60 кинотеатров, построенных с 1935 по 1940 годы в различных городах СССР, 50 осуществлено по проектам Виктора Петровича Калмыкова). К двадцатилетию Октябрьской революции был открыт новый кинотеатр, на пересечении улицы Свердлова и переулка А. Глушко получил название 'Октябрь'. Кинотеатра представляло собой двухярусное здание: на первом этаже размещались кассы, просторное фойе и малый концертный зал. На втором этаже - буфет и служебные помещения, а в кинозал можно было попасть через фойе, как в кинотеатрах и во многих кинотеатрах того времени в других городах. Изначально кинотеатр планировалось открыть 7 ноября 1937 года премьерой фильма 'Ленин в Октябре', но комиссия, принимавшая объект нашла трещину в фасаде, и премьера фильма прошла в 'Рот Фронте'. А новый кинотеатр 'Октябрь' был открыт уже в феврале 1938 года, и первый фильм, вышедший на экран в этом кинотеатре был 'Балтийцы' о революционных событиях в Балтике. После распада Советского союза в 90-х годах в Таганроге закрылись все кинотеатры, кроме кинотеатров 'Октябрь' и 'Комсомолец', доставшегося в 'наследство' современному Тагарогу от Светской власти. Кинотеатр 'Октябрь' прекратил свое существование в 2007 году. В 2010 году здание кинотеатра пытались реконструировать, построив на месте кинотеатра кульутрно-развлекательный центр, но стройку свернули в том же году. С 2016 года — Алкомаркет Градус.
Гарибальди_84		индивидуальный жилой дом,строение 19го века	пер. Гарибальди	84	47.200653	38.940634	38281347	http://wikimapia.org/38281347/ru/%D0%BF%D0%B5%D1%80-%D0%93%D0%B0%D1%80%D0%B8%D0%B1%D0%B0%D0%BB%D1%8C%D0%B4%D0%B8-84		klunny	
Петровская_70	Дом Варваци	аптека,торговля обувью,многоквартирный жилой дом,памятник архитектуры (истории),строение 1840-х годов,магазин парфюмерии / косметики,объект культурного наследия регионального значения	Петровская ул.	70	47.213156	38.93303	26436205	http://wikimapia.org/26436205/ru/%D0%94%D0%BE%D0%BC-%D0%92%D0%B0%D1%80%D0%B2%D0%B0%D1%86%D0%B8		klunny	Дом Варваци оценивался в 60 000 рублей.
Греческая_10		индивидуальный жилой дом,строение 19го века	Греческая ул.	10	47.20543	38.944953	38603524	http://wikimapia.org/38603524/ru/%D0%93%D1%80%D0%B5%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%83%D0%BB-10		klunny	
Петровская_67	Лавка Сфаэло	памятник архитектуры (истории)	Петровская ул.	67/2	47.214315	38.930417	32971660	http://wikimapia.org/32971660/ru/%D0%9B%D0%B0%D0%B2%D0%BA%D0%B0-%D0%A1%D1%84%D0%B0%D1%8D%D0%BB%D0%BE		klunny	Магазин при доме купца Сфаэло
Красный_13	Дом Карасева	индивидуальный жилой дом,строение 19го века,строение 1890-х годов	Красный пер.	13	47.213851	38.923966	38419040	http://wikimapia.org/38419040/ru/%D0%94%D0%BE%D0%BC-%D0%9A%D0%B0%D1%80%D0%B0%D1%81%D0%B5%D0%B2%D0%B0		klunny	Дом строили в конце 18 века для купца Дмитрия Федоровича Карасева, оценив его в 5100 рублей. В метрических записях по Митрофаниевской церкви упоминается поручик Всеволод Дмитриевич Карасев, скончавшийся от ран 8 мая (отпевали 25 мая) 1918 года в возрасте 25 лет. Простой дом в три окна с левой парадной.
Шмидта_6а	Дом Реми	индивидуальный жилой дом,эклектика,памятник архитектуры (истории),строение 1910-х годов	ул. Шмидта	6а	47.209314	38.944725	26429692	http://wikimapia.org/26429692/ru/%D0%94%D0%BE%D0%BC-%D0%A0%D0%B5%D0%BC%D0%B8		klunny	На этом месте в первой четверти 19-го века стоял небольшой одноэтажный дом. В 1910-х годах дом приобрел действительный статский советник Николай Александрович Реми. Здание перестроили в архитектурном стиле тогда модном 'краснокирпичной' эклектики. Н.А.Реми принадлежали дома по Мало-Биржевой (Греческой) улице под номерами 5, 6, 6а, 6б, и 14. Совсем недавно (в конце 2010х годов) перестроен.
Фрунзе_36	Дом вице-консула Сарандино	памятник архитектуры (истории),строение 19го века	ул. Фрунзе	36	47.213881	38.928834	38187906	http://wikimapia.org/38187906/ru/%D0%94%D0%BE%D0%BC-%D0%B2%D0%B8%D1%86%D0%B5-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D0%B0-%D0%A1%D0%B0%D1%80%D0%B0%D0%BD%D0%B4%D0%B8%D0%BD%D0%BE		klunny	В 1870-х годах принадлежало португальскому вице-консулу в Таганроге Антону Афанасьевичу Сарандино. После его смерти владельцем дома стала жена коллежского асессора Мария Мельникова. В 1890-х годах домовладение приобрели жители Нахичевани на Дону Мелькон и Григорий Багдасаровы. Последним владельцем дома была жена греческо-подданного Пенелопа Хила. Слева, по переулку, сохранились столбы ворот, сама кованная ограда до наших дней не дожила. Симпатичное, богатое кирпичными элементами здание выглядит сейчас плохо. С улицы фасад (он выходит на переулок) не виден из-за деревьев. Дом этот в сути своей угловой - тут задуманы две парадные - по переулку и по улице, с треугольными навесами - испорчен современным подходом: перед зданием установлена трамвайная остановка; здание разбито в цветовом решении. В переулке вместо окна пробита дверь (и надстроены ступеньки из стали), пробиты дополнительные окна в подвал, а одно оригинальное - заложено.
Фрунзе_72	Салон часов 'Эрмитаж'	магазин,салон -катег. подлежит чисте/удалению,магазин часов / ремонт часов,строение 19го века	ул. Фрунзе	72	47.218158	38.921732	33036175	http://wikimapia.org/33036175/ru/%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD-%D1%87%D0%B0%D1%81%D0%BE%D0%B2-%D0%AD%D1%80%D0%BC%D0%B8%D1%82%D0%B0%D0%B6	https://sites.google.com/site/istoriceskijtaganrog/frunze-ulica/dom-72	klunny	Надстроен второй этаж в новейшее время. 
Глушко_44а		ворота,многоквартирный жилой дом,памятник архитектуры (истории)	пер. Антона Глушко	44а	47.208994	38.922644	38177600	http://wikimapia.org/38177600/ru/%D0%BF%D0%B5%D1%80-%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B0-%D0%93%D0%BB%D1%83%D1%88%D0%BA%D0%BE-44%D0%B0		klunny	Под номером 44-а двухэтажный дом. Несмотря на присутствие исключительно классических деталей (русты, сандрики, наличники окон, зубчики по карнизу), нельзя отнести оформление здания к подлинному классицизму, так как отсутствуют простота и ясность композиции, симметричность, конструктивная логика, а фасад просто «завален» декоративными деталями.
Красный_32а		индивидуальный жилой дом,строение 19го века	Красный пер.	32а	47.209132	38.91973	39199141	http://wikimapia.org/39199141/ru/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9-%D0%BF%D0%B5%D1%80-32%D0%B0		klunny	Простой дом на три окна, слева пристройка.
